country;happiness;income;lifeexp;sanitation;water;urbanpopulation;unemployment;literacy;inequality;murder;energy;childmortality;fertility;hiv;foodsupply;population
Afghanistan;3.982854604721069;0.009440679527882256;0.02264150943396226;0.34567369780456314;0.3944353518821605;0.07407407407407407;0.1795489468623322;0.18389261744966445;0.4520388615216202;0.060624138724247746;0.1280948947662362;0.526706231454006;0.5884297520661157;0.0009732751154089987;0.08695652173913038;0.023841334028735346
Albania;4.6066508293151855;0.08692629233436928;0.7660377358490567;0.9752475247524753;0.8592471358428807;0.21658951384515676;0.5684247973188039;0.959731543624161;0.26724137931034475;0.028706683607329204;0.04030896527916373;0.08753709198813056;0.07768595041322315;0.04576739706208025;0.6847826086956521;0.001850436174241071
Argentina;6.6971306800842285;0.15477855868383358;0.7245283018867927;0.9440378820490744;0.9934533551554828;0.40803162713275076;0.07843247392761521;0.9744966442953021;0.5344827586206896;0.0590192904270208;0.10568360186199048;0.06973293768545993;0.17685950413223142;0.016902842141919585;0.7065217391304346;0.030771539005622756
Armenia;4.3483195304870605;0.06330365145714838;0.6830188679245288;0.9095996556177356;0.9819967266775779;0.34144818976279656;0.663914321556292;0.9973154362416107;0.3405172413793103;0.013485885289356408;0.051744132734245635;0.08753709198813056;0.06942148760330577;0.0005803934174457332;0.5434782608695652;0.001850436174241071
Australia;7.309060573577881;0.3616860869346692;0.9547169811320755;0.9999999999999999;1.0;0.5859342488555972;0.11438147128761071;0.7559381383133935;0.3900862068965517;0.013356895473102402;0.29231416504398766;0.011869436201780409;0.10247933884297525;0.0038663130731384993;0.7336956521739129;0.016768238227582218
Austria;7.076447010040283;0.3641991338365012;0.9094339622641514;0.9999999999999999;1.0;0.18019142738243862;0.13216873560635847;0.7559381383133935;0.2995689655172413;0.005591708534611193;0.2016958569093763;0.010385756676557861;0.04132231404958678;0.0031519827132052893;0.9999999999999998;0.005965691913093801
Azerbaijan;5.146774768829346;0.1346741834691775;0.5471698113207548;0.8848471803702109;0.74468085106383;0.1978776529338327;0.20519013649384937;0.9999999999999999;0.0;0.002018690624375206;0.07763507791556316;0.2210682492581602;0.14049586776859505;0.001133999446393971;0.6467391304347825;0.006637278787142684
Bahrain;6.007375240325928;0.3675498630389439;0.7358490566037736;0.9999999999999999;1.0;0.21658951384515676;0.1795489468623322;0.930201342281879;0.4520388615216202;0.005759395295741402;0.5684842469780412;0.04080118694362017;0.13388429752066114;0.04576739706208025;0.5265468227424748;0.0007430322861817428
Bangladesh;4.633473873138428;0.02100069527630951;0.5698113207547175;0.42854068015497193;0.955810147299509;0.10216396171452352;0.08901121533823889;0.43489932885906046;0.33405172413793105;0.060624138724247746;0.008700436370305244;0.25296735905044504;0.1471074380165289;0.0013125820363772737;0.28260869565217384;0.11479134367386598
Belarus;5.718907833099365;0.13886259497223086;0.6037735849056602;0.9386569091691778;0.9672667757774142;0.17290886392009988;0.1795489468623322;0.9973154362416107;0.21767241379310343;0.12931874028545445;0.15476851876823827;0.013353115727002964;0.0743801652892562;0.0035091478931718943;0.7173913043478259;0.006544399751369966
